产品名称,品牌,尺码,原价,折扣,SPU,山茶花SKU,商家SKU
 法式系列-简洁七分袖连衣裙 白底方点,Into This Dream,M,1129.0,899.0,1005255,10052550202,LOP18228-B-M,
 法式系列-简洁七分袖连衣裙 白底方点,Into This Dream,L,1129.0,899.0,1005255,10052550203,LOP18228-B-L,
 法式系列-V领七分袖连体衣 白底黑点,Into This Dream,S,899.0,599.0,1005256,10052560101,LBL18229-B-S,
 法式系列-V领七分袖连体衣 白底黑点,Into This Dream,M,899.0,599.0,1005256,10052560102,LBL18229-B-M,
 法式系列-V领七分袖连体衣 白底黑点,Into This Dream,L,899.0,599.0,1005256,10052560103,LBL18229-B-L,
 法式系列-V领七分袖连体衣 黑底白点,Into This Dream,S,899.0,599.0,1005256,10052560201,LBL18229-H-S,
 法式系列-V领七分袖连体衣 黑底白点,Into This Dream,M,899.0,599.0,1005256,10052560202,LBL18229-H-M,
 法式系列-V领七分袖连体衣 黑底白点,Into This Dream,L,899.0,599.0,1005256,10052560203,LBL18229H-L,
「出游季」法式系列-系带露背连体短裤 白底方点,Into This Dream,S,1129.0,899.0,1005257,10052570101,LJS18230-B-S,
「出游季」法式系列-系带露背连体短裤 白底方点,Into This Dream,M,1129.0,899.0,1005257,10052570102,LJS18230-B-M,
「出游季」法式系列-系带露背连体短裤 白底方点,Into This Dream,L,1129.0,899.0,1005257,10052570103,LJS18230-B-L,
「出游季」法式系列-细吊带连体衣 绿色,Into This Dream,S,699.0,329.0,1005263,10052630101,LAU18231-L-S,
「出游季」法式系列-细吊带连体衣 绿色,Into This Dream,M,699.0,329.0,1005263,10052630102,LAU18231-L-M,
「出游季」法式系列-细吊带连体衣 绿色,Into This Dream,L,699.0,329.0,1005263,10052630103,LAU18231-L-L,
「出游季」法式系列-圆点细吊带连体衣 白底黑点,Into This Dream,S,699.0,499.0,1005263,10052630201,LAU18231-B-S,
「出游季」法式系列-圆点细吊带连体衣 白底黑点,Into This Dream,M,699.0,499.0,1005263,10052630202,LAU18231-B-M,
「出游季」法式系列-圆点细吊带连体衣 白底黑点,Into This Dream,L,699.0,499.0,1005263,10052630203,LAU18231-B-L,
 法式系列-V领七分袖连衣裙 白底方点,Into This Dream,S,1129.0,899.0,1005264,10052640101,LOP18232-B-S,
 法式系列-V领七分袖连衣裙 白底方点,Into This Dream,M,1129.0,899.0,1005264,10052640102,LOP18232-B-M,
 法式系列-V领七分袖连衣裙 白底方点,Into This Dream,L,1129.0,899.0,1005264,10052640103,LOP18232-B-L,
「出游季」度假柔美风情连衣裙 白色,Into This Dream,S,1570.0,1099.0,1005304,10053040101,SSYOP18205BL-S,
「出游季」度假柔美风情连衣裙 白色,Into This Dream,M,1570.0,1099.0,1005304,10053040102,SSYOP18205BL-M,
「出游季」度假柔美风情连衣裙 白色,Into This Dream,L,1570.0,1099.0,1005304,10053040103,SSYOP18205BL-L,
经典 T 恤系列-抽绳款 粉色,Into This Dream,S,599.0,159.0,1005305,10053050101,SSDTS18288F-S,
经典 T 恤系列-抽绳款 粉色,Into This Dream,M,599.0,159.0,1005305,10053050102,SSDTS18288F-M,
经典 T 恤系列-抽绳款 黑色,Into This Dream,S,599.0,159.0,1005305,10053050201,SSDTS18288H-S,
经典 T 恤系列-抽绳款 黑色,Into This Dream,M,599.0,159.0,1005305,10053050202,SSDTS18288H-M,
经典 T 恤系列-褶皱款 灰色,Into This Dream,S,599.0,159.0,1005306,10053060101,SSDTS18289S-S,
经典 T 恤系列-褶皱款 灰色,Into This Dream,M,599.0,159.0,1005306,10053060102,SSDTS18289S-M,
经典 T 恤系列-褶皱款 黑色,Into This Dream,S,599.0,159.0,1005306,10053060201,SSDTS18289H-S,
经典 T 恤系列-褶皱款 黑色,Into This Dream,M,599.0,159.0,1005306,10053060202,SSDTS18289H-M,
经典 T 恤系列-褶皱露肩款 白色,Into This Dream,S,599.0,159.0,1005307,10053070101,SSDTS18290B-S,
经典 T 恤系列-褶皱露肩款 白色,Into This Dream,M,599.0,159.0,1005307,10053070102,SSDTS18290B-M,
经典 T 恤系列-褶皱露肩款 粉色,Into This Dream,S,599.0,159.0,1005307,10053070201,SSDTS18290F-S,
经典 T 恤系列-褶皱露肩款 粉色,Into This Dream,M,599.0,159.0,1005307,10053070202,SSDTS18290F-M,
经典 T 恤系列-露肩款 白色,Into This Dream,S,419.0,139.0,1005308,10053080101,DTS18291A-S,
经典 T 恤系列-露肩款 白色,Into This Dream,M,419.0,139.0,1005308,10053080102,DTS18291A-M,
经典 T 恤系列-露肩款 白色,Into This Dream,L,419.0,139.0,1005308,10053080103,DTS18291A-L,
「出游季」经典 T 恤系列-露肩款 黑色,Into This Dream,S,419.0,139.0,1005308,10053080201,DTS18291B-S,
「出游季」经典 T 恤系列-露肩款 黑色,Into This Dream,M,419.0,139.0,1005308,10053080202,DTS18291B-M,
「出游季」经典 T 恤系列-露肩款 黑色,Into This Dream,L,419.0,139.0,1005308,10053080203,DTS18291B-L,
经典 T 恤系列-圆领款 白色,Into This Dream,S,419.0,139.0,1005309,10053090101,DTS18292A-S,
经典 T 恤系列-圆领款 白色,Into This Dream,M,419.0,139.0,1005309,10053090102,DTS18292A-M,
经典 T 恤系列-圆领款 白色,Into This Dream,L,419.0,139.0,1005309,10053090103,DTS18292A-L,
经典 T 恤系列-圆领款 黑色,Into This Dream,S,419.0,139.0,1005309,10053090201,DTS18292B-S,
经典 T 恤系列-圆领款 黑色,Into This Dream,M,419.0,139.0,1005309,10053090202,DTS18292B-M,
经典 T 恤系列-圆领款 黑色,Into This Dream,L,419.0,139.0,1005309,10053090203,DTS18292B-L,
经典 T 恤系列-条纹款,Into This Dream,S,419.0,169.0,1005310,10053100101,SSDTS18296T-S,
经典 T 恤系列-条纹款,Into This Dream,M,419.0,169.0,1005310,10053100102,SSDTS18296T-M,
「出游季」经典 T 恤系列-拼色条纹款,Into This Dream,S,419.0,169.0,1005311,10053110101,SSDTS18297T-S,
「出游季」经典 T 恤系列-拼色条纹款,Into This Dream,M,419.0,169.0,1005311,10053110102,SSDTS18297T-M,
「出游季」经典 T 恤系列-圆领款 黑+白两色,Into This Dream,S,838.0,269.0,1005361,10053610101,DTS18292AHBS,
「出游季」经典 T 恤系列-圆领款 黑+白两色,Into This Dream,M,838.0,269.0,1005361,10053610102,DTS18292AHBM,
「出游季」经典 T 恤系列-圆领款 黑+白两色,Into This Dream,L,838.0,269.0,1005361,10053610103,DTS18292AHBL,
法式系列-简洁七分袖连衣裙 白底方点,Into This Dream,S,1129.0,0,1005384,10053840101,10052550201,
It's mine 缎面凉拖鞋-复古绿,Camelia,36,1269.0,980.0,1005393,10053930101,,
巴黎女孩的小光芒 Akoya 单颗珍珠项链,Into This Dream,l,1080.0,0,1005394,10053940101,,
风雅迷人系列百褶裙-豆沙色,Into This Dream,S,899.0,699.0,1005428,10054280101,DSK18305-B-S,
风雅迷人系列百褶裙-豆沙色,Into This Dream,M,899.0,699.0,1005428,10054280102,DSK18305-B-M,
风雅迷人系列百褶裙-豆沙色,Into This Dream,L,899.0,699.0,1005428,10054280103,DSK18305-B-L,
风雅迷人系列百褶裙-深蓝色,Into This Dream,S,899.0,699.0,1005428,10054280201,DSK18305-A-S,
风雅迷人系列百褶裙-深蓝色,Into This Dream,M,899.0,699.0,1005428,10054280202,DSK18305-A-M,
风雅迷人系列百褶裙-深蓝色,Into This Dream,L,899.0,699.0,1005428,10054280203,DSK18305-A-L,
风雅迷人系列百褶裙-浅杏灰色,Into This Dream,S,899.0,699.0,1005428,10054280301,DSK18305-C-S,
风雅迷人系列百褶裙-浅杏灰色,Into This Dream,M,899.0,699.0,1005428,10054280302,DSK18305-C-M,
风雅迷人系列百褶裙-浅杏灰色,Into This Dream,L,899.0,699.0,1005428,10054280303,DSK18305-C-L,
水果系列 T 恤 「三款可选」,Into This Dream,草莓S,499.0,299.0,1005437,10054370101,SSDTS18311BCML-S,
水果系列 T 恤 「三款可选」,Into This Dream,草莓M,499.0,299.0,1005437,10054370102,SSDTS18311BCML-M,
水果系列 T 恤 「三款可选」,Into This Dream,桃子S,499.0,299.0,1005437,10054370103,SSDTS18312BTZL-S,
水果系列 T 恤 「三款可选」,Into This Dream,桃子M,499.0,299.0,1005437,10054370104,SSDTS18312BTZL-M,
水果系列 T 恤 「三款可选」,Into This Dream,樱桃S,499.0,299.0,1005437,10054370105,SSDTS18313BYTL-S,
水果系列 T 恤 「三款可选」,Into This Dream,樱桃M,499.0,299.0,1005437,10054370106,SSDTS18313BYTL-M,
水果系列 T 恤 「两款可选」,Into This Dream,香梨S,499.0,299.0,1005438,10054380101,SSDTS18308BLZL-S,
水果系列 T 恤 「两款可选」,Into This Dream,香梨M,499.0,299.0,1005438,10054380102,SSDTS18308BLZL-M,
水果系列 T 恤 「两款可选」,Into This Dream,西瓜S,499.0,299.0,1005438,10054380103,SSDTS18307BXGL-S,
水果系列 T 恤 「两款可选」,Into This Dream,西瓜M,499.0,299.0,1005438,10054380104,SSDTS18307BXGL-M,
水果系列 T 恤 「两款可选」,Into This Dream,柠檬S,499.0,299.0,1005439,10054390101,SSDTS18309BNML-S,
水果系列 T 恤 「两款可选」,Into This Dream,柠檬M,499.0,299.0,1005439,10054390102,SSDTS18309BNML-M,
水果系列 T 恤 「两款可选」,Into This Dream,橙子S,499.0,299.0,1005439,10054390103,SSDTS18310BJZL-S,
水果系列 T 恤 「两款可选」,Into This Dream,橙子M,499.0,299.0,1005439,10054390104,SSDTS18310BJZL-M,
